Configuration,F1-Macro,Std,Delta
All Omics (Full),0.8988129827125771,0.0275132697581146,0.0
Remove mRNA (47 feats),0.8900675756932767,0.030305150489184095,0.008745407019300488
Remove CNV (2 feats),0.9045050671220413,0.03157372473380074,-0.005692084409464115
Remove Methylation (2 feats),0.8751850149451931,0.0358197083997935,0.023627967767384073
Remove Protein (24 feats),0.8506746581743775,0.023683531006747836,0.04813832453819966
Only mRNA (47 feats),0.7701637799500969,0.04221040548709302,0.12864920276248026
Only CNV (2 feats),0.596898374623105,0.0381762674695518,0.3019146080894721
Only Methylation (2 feats),0.7855344157956925,0.03468257338868173,0.11327856691688465
Only Protein (24 feats),0.8634278825927602,0.034428982372083625,0.03538510011981699
